STYLE NO.,COLOR,QUANTITY,Photo
E2771,Ivorynude,5.0,no
E2771,Teal,13.0,no
E2772,Royal,1.0,no
E2773,Lightgold,14.0,yes
E2774,Black,17.0,yes
E2774,Ivory,1.0,yes
E2775,Royal,11.0,no
E2778,Blue,2.0,no
E2778,Blush,2.0,no
E2779,Pink,1.0,no
E2780,Royal,2.0,no
E2781,Yellow,1.0,no
E2781,Royal,6.0,no
E2781,Red,12.0,no
E2785,Gold,9.0,yes
E2786,Purple,29.0,yes
E2787,Navy,9.0,no
E5105,Black,2.0,no
F1116,White,3.0,yes
F1116,Truffle,26.0,yes
F1116,Skyblue,61.0,yes
F1116,Silver,19.0,yes
F1116,Sage,1.0,no
F1116,Royal,17.0,yes
F1116,Purple,8.0,yes
F1116,Pool,2.0,yes
F1116,Pink,34.0,yes
F1116,Navy,41.0,yes
F1116,Lilac,66.0,yes
F1116,Red,95.0,yes
F1116,Ivory,18.0,yes
F1116,Lavender,19.0,yes
F1116,Applered,34.0,no
F1116,Banana,52.0,no
F1116,Black,30.0,yes
F1116,Burgundy,40.0,yes
F1116,Banana(Flower),6.0,no
F1116,Coral,49.0,yes
F1116,Fuchsia,29.0,yes
F1116,Gold,46.0,yes
F1116,Champagne,3.0,yes
F570,Perri,172.0,no
F570,Red,129.0,yes
F570,Pink,199.0,yes
F570,Pool,7.0,yes
F570,Purple,56.0,yes
F570,Royal,74.0,yes
F570,Truffle,88.0,yes
F570,Sage,128.0,no
F570,Silver,67.0,yes
F570,Skyblue,256.0,yes
F570,Teal,1.0,yes
F570,Turquoise,44.0,yes
F570,Periwinkle,46.0,no
F570,Royalblue,45.0,yes
F570,Peach,88.0,yes
F570,Banana,156.0,no
F570,Mint,2.0,yes
F570,,2.0,no
F570,Applered,43.0,no
F570,Victorialilac,43.0,no
F570,Bananayellow,79.0,no
F570,Black,12.0,yes
F570,Burgundy,111.0,yes
F570,Navy,123.0,yes
F570,Champagne,104.0,yes
F570,Darkgreen,2.0,no
F570,Fuchsia,162.0,yes
F570,Green,2.0,yes
F570,Ivory,16.0,yes
F570,Lavender,114.0,yes
F570,Lilac,277.0,yes
F570,Coral,101.0,yes
F570,White,192.0,yes
